Vachana,Vachanakaara,Pen_Name
"ಆರೂ ಇಲ್ಲದವಳೆಂದು ಆಳಿಗೊಳಲುಬೇಡ ಕಂಡೆಯಾ
ಎನ ಮಾಡಿದಡೂ ಆನಂಜುವಳಲ್ಲ.
ತರಗೆಲೆಯ ಮೆಲಿದು ಆನಿಹೆನು,
ಸರಿಯ ಮೇಲೊರಗಿ ಆನಿಹೆನು.
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಯ್ಯಾ, ಕರ ಕೇಡನೊಡ್ಡಿದಡೆ ಒಡಲನು ಪ್ರಾಣವನು
ನಿಮಗರ್ಪಿಸಿ ಶುದ್ಧಳಹೆನು.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ತಲೆಯಲ್ಲಿ ನಿರಿ, ಟೊಂಕದಲ್ಲಿ ಮುಡಿ,
ಮೊಳಕಾಲಲ್ಲಿ ಕಿವಿಯೋಲೆಯ ಕಂಡೆ.
ಹರವಸದ ಉಡಿಗೆ !
ಕಾಂತದಲ್ಲಿ ಮುಖವ ಕಂಡು ಕಾಣದೆ ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನನ ನೆರೆವ ಪರಿಕರ
ಹೊಸತು.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಎನ್ನ ನಾನರಿಯದಲ್ಲಿ ಎಲ್ಲಿರ್ದೆ ಹೇಳಯ್ಯಾ
ಚಿನ್ನದೊಳಗಣ ಬಣ್ಣದಂತೆ ಎನ್ನೊಳಗಿರ್ದೆ.
ಅಯ್ಯಾ ಎನ್ನೊಳಗೆ ಇನಿತಿರ್ದು ಮೈದೋರದ ಭೇದವ ನಿಮ್ಮಲ್ಲಿ ಕಂಡೆ ಕಾಣಾ
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಹಗಲೆನ್ನೆ ಇರುಳೆನ್ನೆ ಉದಯವೆನ್ನೆ ಅಸ್ತಮಾನವೆನ್ನೆ ;
ಹಿಂದೆನ್ನ ಮುಂದೆನ್ನ, ನೀನಲ್ಲದೆ ಪೆರತೊಂದಹುದೆನ್ನೆ.
ಮನ ಘನವಾದುದಿಲ್ಲವಯ್ಯಾ.
ಕತ್ತಲೆಯಲ್ಲಿ ಕನ್ನಡಿಯ ನೋಡಿ ಕಳವಳಗೊಂಡೆನಯ್ಯಾ.
ನಿಮ್ಮ ಶರಣ ಬಸವಣ್ಣನ ತೇಜದೊಳಗಲ್ಲದೆ ಆನಿನ್ನೆಂದು ಕಾಂಬೆನು ಹೇಳಾ,
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಮೂಲಾಧಾರದ ಬೇರ ಮೆಟ್ಟಿ, ಭ್ರೂಮಂಡಲವನೇರಿದೆ.
ಆಚಾರದ ಬೇರ ಹಿಡಿದು ಐಕ್ಯದ ತುದಿಯನೇರಿದೆ.
ವೈರಾಗ್ಯದ ಸೋಪಾನದಿಂದ ಶ್ರೀಗಿರಿಯನೇರಿದೆ. ಕೈವಿಡಿದು ತೆಗೆದುಕೊಳ್ಳಾ,
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಸರ್ಪನ ಬಾಯ ಕಪ್ಪೆ ನೊಣಕ್ಕೆ ಹಾರುವಂತೆ
ಆಪ್ಯಾಯನ ಬಿಡದು.
ಕಾಯವರ್ಪಿತವೆಂಬ ಹುಸಿಯ ನೋಡಾ.
ನಾನು ಭಕ್ತಳೆಂಬ ನಾಚಿಕೆಯ ನೋಡಾ.
ನಾನು ಯುಕ್ತಳೆಂಬ ಹೇಸಿಕೆಯ ನೋಡಾ.
ಓಗರವಿನ್ನಾಗದು, ಪ್ರಸಾದ ಮುನ್ನಿಲ್ಲ ;
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಯ್ಯ ಉಪಚಾರದರ್ಪಿತವನವಗಡಿಸಿ ಕಳೆವ
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಆತುರದ ಧ್ಯಾನದಿಂದ ಧಾವತಿಗೊಂಡೆ ;
ಜ್ಯೋತಿರ್ಲಿಂಗವ ಕಾಣಿಸಬಾರದು.
ಮಾತಿನ ಮಾಲೆಗೆ ಸಿಲುಕುವನಲ್ಲ ;
ಧಾತುಗೆಡಿಸಿ ಮನವ ನೋಡಿ ಕಾಡುವನು.
ಆತುಮನಂತರ ಪರವನರಿದಡೆ ಆತನೆ ಯೋಗಿ ;
ಆತನ ಪಾದಕ್ಕೆ ಶರಣೆಂಬೆನಯ್ಯಾ
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಅಯ್ಯಾ, ಪರಾತ್ಪರ ಸತ್ಯ ಸದಾಚಾರ
ಗುರುಲಿಂಗಜಂಗಮದ ಶ್ರೀಚರಣವನು
ಹಿಂದೆ ಹೇಳಿದ ಅಚ್ಚಪ್ರಸಾದಿಯೋಪಾದಿಯಲ್ಲಿ
ನಿರ್ವಂಚಕತ್ವದಿಂದ ಗುರುಲಿಂಗಜಂಗಮಕ್ಕೆ
ಅರ್ಥಪ್ರಾಣಾಬ್ಥಿಮಾನವ ಸಮರ್ಪಿಸಿ,
ಒಪ್ಪತ್ತು ಅಷ್ಟವಿಧಾರ್ಚನೆ ಷೋಡಶೋಪಚಾರದಿಂದ
ಅರ್ಚನೆಯ ಮಾಡಿ, ಆ ಚರಣೋದಕ ಪ್ರಸಾದವನು
ತನ್ನ ಸರ್ವಾಂಗದಲ್ಲಿ ನೆಲೆಸಿರ್ಪ ಇಷ್ಟ ಮಹಾಲಿಂಗದೇವಂಗೆ
ಕೊಟ್ಟು ಕೊಂಬುವಂತಹದೆ ಇದಿರಿಟ್ಟು
ಜಂಗಮ ಪಾದೋದಕ ಪ್ರಸಾದವ ಕೊಂಬ
ಆಚರಣೆಯ ನಿಲುಗಡೆ ನೋಡಾ.
ಆಮೇಲೆ ಒಪ್ಪತ್ತು ಸಂಬಂಧವಿಟ್ಟು
ಆಚರಿಸುವ ನಿಲುಕಡೆ ಎಂತೆಂದಡೆ
ಅಯ್ಯಾ, ನಿನ್ನ ಷಟ್‍ಸ್ಥಾನದಲ್ಲಿ ನೆಲೆಸಿರ್ಪ ಇಷ್ಟಮಹಾಲಿಂಗದೇವನ
ತ್ರಿವಿಧಸ್ಥಾನದಲ್ಲಿ ಓಂ ಬಸವಣ್ಣ ಚೆನ್ನಬಸವಣ್ಣ ಅಲ್ಲಮಪ್ರಭುವೆಂಬ
ತ್ರಿವಿಧ ನಾಮಸ್ವರೂಪವಾದ ಷೋಡಶಾಕ್ಷರಂಗಳೆ
ಷೋಡಶವರ್ಣವಾಗಿ ನೆಲೆಸಿಪ್ಪರು ನೋಡಾ.
ಇಂತು ಷೋಡಶಕಳಾಸ್ವರೂಪವಾದ
ಚಿದ್ಘನ ಮಹಾಲಿಂಗದೇವನ
ನಿರಂಜನ ಜಂಗಮದೋಪಾದಿಯಲ್ಲಿ
ಸಗುಣ ನಿರ್ಗುಣ ಪೂಜೆಗಳ ಮಾಡಿ
ಜಂಗಮಚರಣಸೋಂಕಿನಿಂ ಬಂದ
ಗುರುಪಾದೋದಕವಾದಡೂ ಸರಿಯೆ,
ಅದು ದೊರೆಯದಿದ್ದಡೆ,
ಲಿಂಗಾಣತಿಯಿಂ ಬಂದೊದಗಿದ
ಪರಿಣಾಮೋದಕವಾದಡೂ ಸರಿಯೆ,
ಒಂದು ಭಾಜನದಲ್ಲಿ ಸೂಕ್ಷ್ಮದಿಂ ರಚಿಸಿ
ಆ ಉದಕದೊಳಗೆ ಹಸ್ತೋದಕ
ಮಂತ್ರೋದಕ ಭಸ್ಮೋದಕವ ಮಾಡಿ,
ಆ ಮೇಲೆ ಅನಾದಿ ಮೂಲಪ್ರಣವ ಪ್ರಸಾದಪ್ರಣವದೊಳಗೆ
ಅಖಂಡಜ್ಯೋತಿಪ್ರಣವ, ಅಖಂಡಮಹಾಜ್ಯೋತಿಪ್ರಣವವ ಲಿಖಿತವಮಾಡಿ,
ಶುದ್ಧಾದಿಯಾದ ಪೂರ್ಣಭಕ್ತಿಯಿಂದ
ಮಹಾಚಿದ್ಘನತೀರ್ಥವೆಂದು ಭಾವಿಸಿ
ಪಂಚಾಕ್ಷರ ಷಡಕ್ಷರ ಮಂತ್ರಧ್ಯಾನದಿಂದ
ಅನಿಮಿಷದೃಷ್ಟಿಯಿಂ ನಿರೀಕ್ಷಿಸಿ,
ಮೂರು ವೇಳೆ ಪ್ರದಕ್ಷಿಣವ ಮಾಡಿ,
ಆ ಚಿದ್ಘನ ತೀರ್ಥವನು ದ್ವಾದಶದಳ ಕಮಲದ ಮಧ್ಯದಲ್ಲಿ ನೆಲೆಸಿರ್ಪ
ಇಷ್ಟ ಮಹಾಲಿಂಗ ಜಂಗಮಕ್ಕೆ
ಅಷ್ಟವಿಧಮಂತ್ರ ಸಕೀಲಂಗಳಿಂದ
ಆಚಾರಾದಿ ಶೂನ್ಯಾಂತವಾದ ಅಷ್ಟವಿಧ ಲಿಂಗಧ್ಯಾನದಿಂದ
ಅಷ್ಟವಿಧ ಬಿಂದುಗಳ ಸಮರ್ಪಿಸಿದಲ್ಲಿಗೆ
ಅಷ್ಟವಿಧೋದಕವಾಗುವುದಯ್ಯಾ.
ಆ ಇಷ್ಟಮಹಾಲಿಂಗ ಜಂಗಮವೆತ್ತಿ
ಅಷ್ಟಾದಶಮಂತ್ರ ಸ್ಮರಣೆಯಿಂದ
ಮುಗಿದಲ್ಲಿಗೆ ನವಮೋದಕವಾಗುವುದಯ್ಯಾ.
ಉಳಿದೋದಕವ ತ್ರಿವಿಧ ಪ್ರಣವಧ್ಯಾನದಿಂದ
ಮುಕ್ತಾಯವ ಮಾಡಿದಲ್ಲಿಗೆ
ದಶವಿಧೋದಕವೆನಿಸುವುದಯ್ಯಾ.
ಹೀಗೆ ಮಹಾಜ್ಞಾನ ಲಿಂಗಜಂಗಮಸ್ವರೂಪ ಪಾದತೀರ್ಥ
ಮುಗಿದ ಮೇಲೆ ತಟ್ಟೆ ಬಟ್ಟಲಲ್ಲಿ ಎಡೆಮಾಡಬೇಕಾದಡೆ
ಗೃಹದಲ್ಲಿರ್ದ ಕ್ರಿಯಾಶಕ್ತಿಯರಿಗೆ ಧಾರಣವಿರ್ದಡೆ
ತಾ ಸಲಿಸಿದ ಪಾದೋದಕ ಪ್ರಸಾದವ ಕೊಡುವುದಯ್ಯಾ.
ಸಹಜಲಿಂಗಭಕ್ತರಾದಡೆ
ಮುಖ ಮಜ್ಜನವ ಮಾಡಿಸಿ ತಾ ಧರಿಸುವ
ವಿಭೂತಿಧಾರಣವ ಮಾಡಿಸಿ
ಶಿವಶಿವಾ ಹರಹರ ಬಸವಲಿಂಗಾ ಎಂದು ಬೋಧಿಸಿ
ಎಡೆಮಾಡಿಸಿಕೊಂಬುವುದಯ್ಯಾ.
ಆಮೇಲೆ ತಾನು ಸ್ಥಲವಾದಡೆ ಸಂಬಂಧಪಟ್ಟು,
ಪರಸ್ಥಲವಾದಡೆ ಚಿದ್ಘನ ಇಷ್ಟಮಹಾಲಿಂಗ ಜಂಗಮವ
ವಾಮಕರಸ್ಥಲದಲ್ಲಿ ಮೂರ್ತಮಾಡಿಸಿಕೊಂಡು
ದಕ್ಷಿಣಹಸ್ತದಲ್ಲಿ ಗುರುಲಿಂಗಜಂಗಮ ಸೂತ್ರವಿಡಿದು
ಬಂದ ಕ್ರಿಯಾಭಸಿತವ ಲೇಪಿಸಿ,
ಮೂಲಪ್ರಣವ ಪ್ರಸಾದಪ್ರಣವದೊಳಗೆ
ಗೋಳಕಪ್ರಣವ ಅಖಂಡಗೋಳಕಪ್ರಣವ
ಅಖಂಡ ಮಹಾಗೋಳಕಪ್ರಣವ,
ಜ್ಯೋತಿಪ್ರಣವ ಧ್ಯಾನದಿಂದ
ದ್ವಾದಶ ಮಣಿಯ ಧ್ಯಾನಿಸಿ ಪ್ರದಕ್ಷಿಸಿ,
ಮೂಲಮೂರ್ತಿ ಲಿಂಗಜಂಗಮದ ಮಸ್ತಕದ ಮೇಲೆ ಸ್ಪರ್ಶನವ ಮಾಡಿ,
ಬಟ್ಟಲಿಗೆ ಮೂರು ವೇಳೆ ಸ್ಪರ್ಶನವ ಮಾಡಿ,
ಪದಾ  ರ್ಥದ ಪೂರ್ವಾಶ್ರಯವ ಕಳೆದು
ಶುದ್ಧಪ್ರಸಾದವೆಂದು ಭಾವಿಸಿ,
ಆ ಇಷ್ಟ ಮಹಾಲಿಂಗ ಜಂಗಮಕ್ಕೆ
ಅಷ್ಟಾದಶ ಮಂತ್ರಸ್ಮರಣೆಯಿಂದ
ಮೂರುವೇಳೆ ರೂಪ ಸಮರ್ಪಿಸಿ, ಎರಡು ವೇಳೆ ರೂಪ ತೋರಿ,
ಚಿರಪ್ರಾಣಲಿಂಗ ಮಂತ್ರ ಜಿಹ್ವೆಯಲ್ಲಿಟ್ಟು
ಆರನೆಯ ವೇಳೆಗೆ ಭೋಜ್ಯಗಟ್ಟಿ
ಆ ಇಷ್ಟಮಹಾಲಿಂಗ ಮಂತ್ರಧ್ಯಾನದಿಂದ ಸಮರ್ಪಿಸಿ,
ಷಡ್ವಿಧ ಲಿಂಗಲೋಲುಪ್ತಿಯಿಂದ ಸಂತೃಪ್ತನಾಗಿ ಆಚರಿಸಿದಾತನೆ
ಗುರುಭಕ್ತನಾದ ನಿಚ್ಚಪ್ರಸಾದಿಯೆಂಬೆ ಕಾಣಾ ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಉರಕ್ಕೆ ಜವ್ವನಗಳು ಬಾರದ ಮುನ್ನ,
ಮನಕ್ಕೆ ನಾಚಿಕೆಗಳು ತೋರದ ಮುನ್ನ,
ನಮ್ಮವರಂದೆ ಮದುವೆಯ ಮಾಡಿದರು
ಸಿರಿಶೈಲ ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಂಗೆ.
ಹೆಂಗೂಸೆಂಬ ಭಾವ ತೋರದ ಮುನ್ನ ನಮ್ಮವರಂದೆ ಮದುವೆಯ ಮಾಡಿದರು
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಭಾವಿಸಿ ನೋಡಿದಡೆ ಅಂಗವಾಯಿತ್ತು,
ಅಂಗಸಂಗವಾಗಿ ಸಂಯೋಗವ ಮರೆದು, ಲಿಂಗಸೈವೆರಗಾದೆ.
ಲಿಂಗೈಕ್ಯ, ನಿಮ್ಮನಗಲದೆ ಅಂಗರುಚಿಗಳ ಮರೆದು,
ಲಿಂಗರುಚಿಗಳಲ್ಲಿ ಸೈವೆರಗಾದೆ.
ಲಿಂಗ ಸೈವೆರಗಾದ ಬಳಿಕ ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನನ ಕೊಂದು ಸಾವ ಭಾಷೆ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಪಡೆವುದರಿದು ನರಜನ್ಮವ,
ಪಡೆವುದರಿದು ಹರಭಕ್ತಿಯ,
ಪಡೆವುದರಿದು ಗುರುಕಾರುಣ್ಯವ,
ಪಡೆವುದರಿದು ಲಿಂಗಜಂಗಮಸೇವೆಯ,
ಪಡೆವುದರಿದು ಸತ್ಯಶರಣರನುಭಾವವ.
ಇಂತಾಗಿ ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಯ್ಯನ ಶರಣರ ಅನುಭಾವದಲ್ಲಿ ನಲಿನಲಿದಾಡು
ಕಂಡೆಯಾ ಎಲೆ ಮನವೆ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
